Date Published,Status,Aircraft,Travel Type,Travel Class,Route,Date Flown,Seating Comfort,Staff Service,Food Quality,Entertainment,WiFi,Ground Service,Value for Money,Recommended,Country,New Overall Rating
1/9/17,Verified Review,A380-800,Solo Leisure,Economy Class,HYD to LHR via DXB,16-Dec,3,4,3,4,2,3,3,yes,United Kingdom,2
1/7/17,Verified Review,A380,Solo Leisure,First Class,LGW to PER via DXB,17-Jan,5,5,4,5,3,5,5,yes,United Kingdom,5
12/27/16,Verified Review,Boeing 777-300ER,Solo Leisure,First Class,DXB to KWI,16-Dec,5,5,1,5,1,3,2,no,Kuwait,2
12/26/16,Verified Review,A380,Couple Leisure,Business Class,BOM to LHR via DXB,16-Nov,4,3,3,3,1,2,3,no,United Kingdom,3
12/7/16,Verified Review,Boeing 777 / A380,Couple Leisure,Business Class,DXB to BKK via HKG,16-Dec,2,1,2,3,1,3,2,no,Germany,1
12/7/16,Verified Review,Boeing 777-300,Couple Leisure,Economy Class,BOS to HYD via DXB,16-Dec,2,2,2,1,1,3,2,no,India,2
11/26/16,Verified Review,A380-800,Couple Leisure,Economy Class,LGW to MRU via DXB,16-Nov,5,5,5,5,5,5,5,yes,United Kingdom,5
11/25/16,Verified Review,Boeing 777-300ER / 777-200LR,Business,Business Class,DEL to GRU via DXB,16-Nov,4,4,4,5,5,5,5,yes,India,4
11/15/16,Verified Review,A380,Business,Economy Class,JFK to CAN via DXB,16-Oct,4,2,1,3,1,4,3,yes,United States,3
11/14/16,Verified Review,A380,Business,Business Class,MEL to AKL,16-Aug,5,5,5,5,3,4,4,yes,Australia,5
11/12/16,Verified Review,A380,Couple Leisure,Economy Class,DXB to LHR,16-Nov,4,4,4,5,4,4,5,yes,United Kingdom,5
11/12/16,Verified Review,A380,Business,Economy Class,MAN to DXB,16-Oct,1,1,2,5,2,3,3,no,United Kingdom,1
11/11/16,Verified Review,A380,Business,Economy Class,SIN to LHR via SYD,16-Nov,4,4,3,1,4,3,4,yes,Australia,4
10/30/16,Verified Review,Boeing 777-300ER,Business,Business Class,DFW to BLR via DXB,16-Oct,1,4,3,2,3,4,1,no,United States,1
10/20/16,Verified Review,Boeing 777-300ER,Couple Leisure,Economy Class,DXB to WAW,16-Oct,2,1,2,4,4,4,3,no,Poland,3
10/20/16,Verified Review,A380,Business,First Class,DXB to LHR,16-Oct,5,5,3,5,4,4,4,yes,United Arab Emirates,5
10/20/16,Verified Review,A380,Business,Business Class,IAD to DXB,16-Oct,5,5,3,5,5,4,3,yes,United Arab Emirates,5
10/19/16,Verified Review,A380,Business,Business Class,IAD to DXB,16-Oct,5,4,4,5,5,4,3,yes,United Arab Emirates,4
10/19/16,Verified Review,Boeing 777 and A380,Business,Business Class,BLR to SFO via DXB,16-Jan,5,5,4,5,2,5,4,yes,United States,4
10/18/16,Verified Review,A380,Business,Business Class,CAN to LHR via DXB,16-Oct,2,5,3,3,3,5,3,no,United Kingdom,3
10/14/16,Verified Review,A380,Solo Leisure,Economy Class,MXP to JFK,16-Oct,5,5,5,5,5,5,5,yes,Slovenia,5
10/12/16,Verified Review,Boeing 777-300,Couple Leisure,Business Class,JNB to DXB,16-Oct,5,5,5,4,5,4,5,yes,New Zealand,4
10/10/16,Verified Review,A380,Business,Business Class,BKK to HKG,16-Sep,4,4,4,5,5,4,5,yes,Belgium,5
10/7/16,Verified Review,Boeing 777-300ER / A380,Couple Leisure,Economy Class,GLA to MEL via DXB,16-Sep,3,3,4,5,3,3,5,yes,United Kingdom,4
10/4/16,Verified Review,A380,Business,Business Class,LGW to BLR via DXB,16-Sep,3,1,1,1,1,1,1,no,United Kingdom,1
9/28/16,Verified Review,A380,Solo Leisure,Economy Class,LGW to DXB,16-Sep,5,1,3,5,5,5,4,yes,United Kingdom,5
9/25/16,Verified Review,Boeing 777-300ER,Business,Business Class,DEL to GRU via DXB,16-Sep,4,4,5,5,5,4,5,yes,India,4
9/24/16,Verified Review,Boeing 777,Solo Leisure,Economy Class,PEK to DXB,16-Aug,4,5,4,5,5,4,5,yes,China,5
9/20/16,Verified Review,Boeing 777-300ER,Solo Leisure,Business Class,DOH to BKK via DXB,16-Sep,5,5,5,4,3,5,5,yes,Qatar,5
9/19/16,Verified Review,A380,Couple Leisure,Business Class,MRU to DXB,16-Sep,4,1,1,5,4,5,2,no,United Kingdom,1
9/19/16,Verified Review,A380,Couple Leisure,Economy Class,DXB to LHR,16-Sep,2,2,3,3,3,2,2,no,United Arab Emirates,2
9/19/16,Verified Review,A380,Solo Leisure,Economy Class,JED to BKK via DXB,16-Sep,5,4,5,5,4,5,5,yes,Saudi Arabia,5
9/18/16,Verified Review,A380-800,Family Leisure,Business Class,MXP to JFK,16-Aug,5,5,5,5,3,5,5,yes,Italy,5
9/6/16,Verified Review,Boeing 777 / A380,Couple Leisure,Economy Class,BKK to BHX via DXB,16-Sep,4,1,1,5,4,1,3,no,United Kingdom,2
9/4/16,Verified Review,Boeing 777-300,Couple Leisure,Economy Class,WAW to BNE via DXB,16-Sep,4,5,5,5,3,3,4,yes,Australia,5
8/29/16,Verified Review,A380,Family Leisure,Economy Class,DUS to MRU via DXB,16-Aug,4,5,5,5,4,4,5,yes,Belgium,5
8/29/16,Verified Review,A380,Business,Business Class,DXB to JFK,16-Aug,4,2,2,4,2,5,4,yes,United States,4
8/28/16,Verified Review,Boeing 777-300 / A380,Couple Leisure,Economy Class,BHX to CMB via DXB,16-Aug,1,1,2,3,2,1,1,no,United Kingdom,1
8/26/16,Verified Review,A380,Solo Leisure,First Class,CPT to LHR via DXB,16-Aug,5,5,5,4,4,5,5,yes,United Kingdom,5
8/24/16,Verified Review,Boeing 777-300,Solo Leisure,Business Class,GIG to EZE,16-Aug,3,4,2,2,1,2,3,no,Brazil,3
8/17/16,Verified Review,A380,Family Leisure,Economy Class,MRU to JED via DXB,15-Dec,5,5,5,5,5,5,5,yes,Mauritius,5
8/14/16,Verified Review,A380,Couple Leisure,Business Class,DXB to BKK,16-Jul,5,3,2,5,3,4,4,yes,Singapore,4
8/10/16,Verified Review,A380,Business,Economy Class,DXB to JED,16-Aug,4,4,4,5,4,3,3,yes,United Arab Emirates,4
8/8/16,Verified Review,A380-800,Couple Leisure,Economy Class,AMS to DAR via DXB,16-Aug,4,1,2,4,1,1,2,no,Netherlands,2
8/7/16,Verified Review,A380-800,Solo Leisure,Business Class,LHR to BKK via DXB,15-Sep,5,5,5,4,4,5,4,yes,United Kingdom,5
8/7/16,Verified Review,A380,Business,Economy Class,Manchester to Dubai,16-Aug,3,1,1,4,3,1,3,yes,United Kingdom,1
8/7/16,Verified Review,A380,Solo Leisure,Business Class,LGW to BNE via DXB,16-Aug,4,3,1,2,2,1,1,no,Australia,1
8/7/16,Verified Review,A380,Solo Leisure,Economy Class,BOM to AMS via DXB,16-Jul,3,1,4,5,1,1,3,no,India,2
8/4/16,Verified Review,Boeing 777-300,Solo Leisure,Economy Class,DXB to NRT,16-Jul,1,2,1,4,5,2,1,no,Netherlands,2
7/24/16,Verified Review,Boeing 777-300,Family Leisure,Business Class,CHC to SYD,16-Jul,5,4,4,5,4,5,5,yes,Indonesia,5
7/24/16,Verified Review,Boeing 777,Business,Business Class,DXB to BKK,16-Jul,3,5,2,4,4,5,3,yes,Thailand,4
7/19/16,Verified Review,A380 / Boeing 777-300ER,Couple Leisure,Business Class,MAN to KUL via DXB,16-Jul,5,5,5,5,3,5,5,yes,United Kingdom,5
7/16/16,Verified Review,A380 /  Boeing 777,Solo Leisure,Economy Class,FRA to BOM via DXB,16-Mar,5,5,4,5,5,5,5,yes,Germany,5
7/14/16,Verified Review,A380,Solo Leisure,Economy Class,ZRH to DXB,16-May,5,5,5,5,5,5,5,yes,United Arab Emirates,5
7/14/16,Verified Review,A380,Solo Leisure,First Class,SYD to DXB,16-Mar,5,5,4,5,5,5,5,yes,Australia,5
7/11/16,Verified Review,Boeing 777-300,Solo Leisure,Economy Class,DXB to MLA via TUN,16-Jul,2,2,2,2,2,2,2,yes,Malta,3
7/8/16,Verified Review,A380,Business,Business Class,CDG to DXB,16-Jun,5,5,5,5,2,3,4,yes,France,5
7/5/16,Verified Review,A380,Couple Leisure,Economy Class,DMM to YYZ via DXB,16-Jun,5,4,5,5,3,4,5,yes,Saudi Arabia,5
6/24/16,Verified Review,A380-800 / Boeing 777-3ER,Solo Leisure,Economy Class,JFK to NBO via DXB,16-Jun,4,3,4,5,4,5,5,yes,Kenya,5
6/16/16,Verified Review,Boeing 777 / A380,Couple Leisure,Business Class,LHR to DPS via DXB,16-Jun,2,5,1,1,1,1,2,no,United Kingdom,1
6/13/16,Verified Review,A380,Solo Leisure,Economy Class,MAN to MRU via DXB,16-Jun,5,5,5,5,3,5,5,yes,United Kingdom,5
6/9/16,Verified Review,A380,Business,First Class,AMS to DXB,16-Jun,5,2,4,5,5,3,4,yes,Belgium,4
5/29/16,Verified Review,Boeing 777,Family Leisure,Economy Class,KUL to DXB to CMN,16-May,4,4,3,4,4,4,4,yes,Malaysia,4
5/29/16,Verified Review,A380,Business,Business Class,BKK to HKG,16-May,3,1,3,4,2,2,2,no,Thailand,2
5/11/16,Verified Review,Boeing 777-300,Business,Business Class,DXB to PVG,16-May,4,2,4,5,3,1,3,no,India,3
5/11/16,Verified Review,Airbus A380,Couple Leisure,Economy Class,MAN to MRU via DXB,16-May,4,3,3,3,2,3,3,yes,United Kingdom,4
5/6/16,Verified Review,A380,Solo Leisure,Economy Class,MRU to CAN via DXB,16-Mar,3,4,3,3,4,1,3,yes,Mauritius,3
4/28/16,Verified Review,A380-800,Solo Leisure,Business Class,LGW to MRU via DXB,16-Mar,5,5,5,5,4,5,5,yes,United Kingdom,5
4/25/16,Verified Review,A380,Family Leisure,Economy Class,DXB to HKG via BKK,16-Apr,1,2,1,2,2,1,1,no,United Arab Emirates,1
4/15/16,Verified Review,A380,Couple Leisure,Economy Class,LHR to SYD via DXB,16-Mar,5,5,5,5,5,5,5,yes,Australia,5
4/14/16,Verified Review,A380,Solo Leisure,Economy Class,HND to CDG via DXB,16-Apr,3,3,3,4,4,1,1,no,United Kingdom,1
4/13/16,Verified Review,A380,Solo Leisure,Economy Class,YYZ to TRV via DXB,15-Nov,4,2,3,4,4,1,2,no,Canada,1
4/13/16,Verified Review,A380,Solo Leisure,Business Class,HKG to MAD via DXB,16-Apr,4,5,5,5,4,5,5,yes,Thailand,5
4/7/16,Verified Review,A380-800 and Boeing 777-300,Family Leisure,Business Class,LGW to HKT via DXB,16-Apr,5,5,5,5,4,3,4,yes,United Kingdom,5
3/30/16,Verified Review,A380,Solo Leisure,Business Class,MXP to JFK,16-Mar,4,5,4,4,4,4,4,yes,Italy,5
3/25/16,Verified Review,A380,Solo Leisure,Economy Class,LHR to MEL via DXB,16-Mar,2,3,2,5,1,5,4,no,United Kingdom,2
3/25/16,Verified Review,Boeing 777,Solo Leisure,Economy Class,CMN to CMB via DXB/MLE,16-Mar,5,3,5,5,5,4,4,yes,Sri Lanka,4
3/24/16,Verified Review,A380,Solo Leisure,Economy Class,SIN to DXB,15-Sep,5,5,4,5,5,5,5,yes,Singapore,5
